"TOA5","WeatherStation","CR1000","39656","CR1000.Std.29","CPU:F13WeatherStation.CR1","39725","SecData"
"TIMESTAMP","RECORD","BattV","PTemp_C","AirTC","RH","Pyro","PAR_ref","WindDir","WS_ms","Rain_mm_Tot"
"TS","RN","Volts","Deg C","Deg C","%","W/m^2","umol/s/m^2","degrees","meters/second","mm"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot"
"2016-08-30 06:18:24",7298519,12.51,22.08,21.36,41.96,10.95,36.56,5,2.25,0
"2016-08-30 06:18:25",7298520,12.51,22.08,21.36,41.99,10.95,36.56,10,2.53,0
"2016-08-30 06:18:26",7298521,12.47,22.08,21.36,42.03,10.95,36.56,12,2.7,0
"2016-08-30 06:18:27",7298522,12.5,22.08,21.36,41.99,10.95,36.56,3,2.43,0
"2016-08-30 06:18:28",7298523,12.47,22.08,21.36,41.99,10.95,36.56,5,2.44,0
"2016-08-30 06:18:29",7298524,12.47,22.08,21.36,42.03,10.95,36.56,10,2.41,0
"2016-08-30 06:18:30",7298525,12.47,22.08,21.36,42.03,10.95,36.56,7,2.24,0
"2016-08-30 06:18:31",7298526,12.5,22.08,21.33,41.99,10.95,36.56,7,2.43,0
"2016-08-30 06:18:32",7298527,12.5,22.08,21.29,41.99,10.95,36.56,8,2.43,0
"2016-08-30 06:18:33",7298528,12.47,22.08,21.29,41.99,10.95,36.56,6,2.3,0
"2016-08-30 06:18:34",7298529,12.5,22.08,21.29,41.99,10.95,37.21,6,2.24,0
"2016-08-30 06:18:35",7298530,12.5,22.08,21.33,41.99,10.95,37.21,9,2.8,0
"2016-08-30 06:18:36",7298531,12.5,22.08,21.29,41.99,10.95,37.21,9,2.22,0
"2016-08-30 06:18:37",7298532,12.5,22.08,21.33,41.99,10.95,37.21,10,2.28,0
"2016-08-30 06:18:38",7298533,12.5,22.08,21.33,41.99,10.95,37.21,9,2.35,0
"2016-08-30 06:18:39",7298534,12.5,22.08,21.33,42.03,10.95,37.21,11,2.27,0
"2016-08-30 06:18:40",7298535,12.51,22.08,21.33,42.06,10.95,37.21,9,2.19,0
"2016-08-30 06:18:41",7298536,12.51,22.08,21.33,42.06,10.95,37.21,10,2.28,0
"2016-08-30 06:18:42",7298537,12.51,22.08,21.33,42.06,10.95,37.21,9,2.1,0
