"TOA5","WeatherStation","CR1000","39656","CR1000.Std.29","CPU:F13WeatherStation.CR1","39725","SecData"
"TIMESTAMP","RECORD","BattV","PTemp_C","AirTC","RH","Pyro","PAR_ref","WindDir","WS_ms","Rain_mm_Tot"
"TS","RN","Volts","Deg C","Deg C","%","W/m^2","umol/s/m^2","degrees","meters/second","mm"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot"
"2016-08-30 12:30:24",7320819,12.91,40.44,39.82,17.92,592.9,1758,166,4.72,0
"2016-08-30 12:30:25",7320820,12.91,40.44,39.85,17.92,593.3,1760,166,4.72,0
"2016-08-30 12:30:26",7320821,12.87,40.44,39.92,17.99,593.1,1758,163,4.73,0
"2016-08-30 12:30:27",7320822,12.84,40.44,39.92,17.99,592.4,1759,169,4.31,0
"2016-08-30 12:30:28",7320823,12.87,40.44,39.92,17.99,592.4,1759,168,3.84,0
"2016-08-30 12:30:29",7320824,12.87,40.44,39.92,17.99,593.8,1757,171,3.61,0
"2016-08-30 12:30:30",7320825,12.82,40.44,39.92,17.99,593.1,1760,178,3.75,0
"2016-08-30 12:30:31",7320826,12.82,40.44,39.92,17.99,593.1,1760,175,3.83,0
"2016-08-30 12:30:32",7320827,12.84,40.44,39.92,17.99,593.1,1758,173,3.93,0
"2016-08-30 12:30:33",7320828,12.82,40.44,39.92,18.05,591.9,1758,170,3.88,0
"2016-08-30 12:30:34",7320829,12.84,40.44,39.95,18.05,593.6,1759,167,3.53,0
"2016-08-30 12:30:35",7320830,12.84,40.44,39.92,18.05,592.9,1757,173,4.3,0
"2016-08-30 12:30:36",7320831,12.82,40.44,39.92,18.05,592.9,1758,169,4.8,0
"2016-08-30 12:30:37",7320832,12.84,40.44,39.92,18.05,592.6,1761,175,3.94,0
"2016-08-30 12:30:38",7320833,12.85,40.44,39.89,18.05,591.9,1759,174,4.19,0
"2016-08-30 12:30:39",7320834,12.84,40.44,39.89,18.02,592.4,1761,174,4.34,0
"2016-08-30 12:30:40",7320835,12.85,40.44,39.92,17.99,592.6,1760,171,4.2,0
"2016-08-30 12:30:41",7320836,12.86,40.44,39.92,17.99,592.4,1760,172,4.4,0
"2016-08-30 12:30:42",7320837,12.85,40.44,39.92,17.99,592.4,1760,171,4,0
