"TOA5","WeatherStation","CR1000","39656","CR1000.Std.29","CPU:F13WeatherStation.CR1","39725","SecData"
"TIMESTAMP","RECORD","BattV","PTemp_C","AirTC","RH","Pyro","PAR_ref","WindDir","WS_ms","Rain_mm_Tot"
"TS","RN","Volts","Deg C","Deg C","%","W/m^2","umol/s/m^2","degrees","meters/second","mm"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot"
"2016-08-30 18:42:06",7343097,12.85,36.98,34.8,26.72,15.35,45.62,67,4.1,0
"2016-08-30 18:42:07",7343098,12.8,36.98,34.74,26.72,15.35,45.62,71,3.76,0
"2016-08-30 18:42:08",7343099,12.79,36.98,34.74,26.72,15.35,44.97,66,3.78,0
"2016-08-30 18:42:09",7343100,12.79,36.94,34.74,26.72,15.35,44.97,61,3.71,0
"2016-08-30 18:42:10",7343101,12.83,36.98,34.77,26.68,15.35,44.97,61,3.23,0
"2016-08-30 18:42:11",7343102,12.82,36.98,34.7,26.68,15.35,44.97,54,3.26,0
"2016-08-30 18:42:12",7343103,12.79,36.98,34.67,26.65,15.35,44.97,58,3.1,0
"2016-08-30 18:42:13",7343104,12.83,36.94,34.67,26.72,15.35,44.97,66,3.12,0
"2016-08-30 18:42:14",7343105,12.79,36.94,34.67,26.75,15.35,44.97,66,3.34,0
"2016-08-30 18:42:15",7343106,12.82,36.94,34.7,26.61,15.35,44.97,65,3.15,0
"2016-08-30 18:42:16",7343107,12.79,36.94,34.7,26.58,15.35,44.97,66,3.19,0
"2016-08-30 18:42:17",7343108,12.82,36.94,34.74,26.58,15.35,44.97,61,3.5,0
"2016-08-30 18:42:18",7343109,12.83,36.94,34.7,26.58,15.35,44.97,61,3.34,0
"2016-08-30 18:42:19",7343110,12.79,36.94,34.74,26.61,15.35,44.97,59,3.3,0
"2016-08-30 18:42:20",7343111,12.83,36.94,34.74,26.55,15.35,44.97,63,3.85,0
"2016-08-30 18:42:21",7343112,12.83,36.94,34.74,26.55,15.35,44.32,54,3.68,0
"2016-08-30 18:42:22",7343113,12.84,36.94,34.74,26.55,15.35,44.97,55,3.85,0
"2016-08-30 18:42:23",7343114,12.83,36.94,34.74,26.58,14.88,44.32,53,3.44,0
"2016-08-30 18:42:24",7343115,12.79,36.94,34.77,26.61,14.88,44.32,67,3.77,0
