"TOA5","WeatherStation","CR1000","39656","CR1000.Std.29","CPU:F13WeatherStation.CR1","39725","SecData"
"TIMESTAMP","RECORD","BattV","PTemp_C","AirTC","RH","Pyro","PAR_ref","WindDir","WS_ms","Rain_mm_Tot"
"TS","RN","Volts","Deg C","Deg C","%","W/m^2","umol/s/m^2","degrees","meters/second","mm"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot"
"2016-08-30 10:26:23",7313386,12.88,38.55,36.85,25.49,499.6,1504,63,2.28,0
"2016-08-30 10:26:24",7313387,12.88,38.55,36.82,25.49,500,1502,61,2.8,0
"2016-08-30 10:26:25",7313388,12.87,38.55,36.82,25.53,500.7,1503,83,1.43,0
"2016-08-30 10:26:26",7313389,12.87,38.55,36.82,25.56,501.2,1505,113,1.6,0
"2016-08-30 10:26:27",7313390,12.85,38.55,36.82,25.56,500.7,1505,117,1.94,0
"2016-08-30 10:26:28",7313391,12.87,38.55,36.82,25.56,500.7,1505,119,2.18,0
"2016-08-30 10:26:29",7313392,12.87,38.55,36.85,25.63,500.7,1504,127,1.29,0
"2016-08-30 10:26:30",7313393,12.87,38.55,36.82,25.63,501.4,1504,114,1.65,0
"2016-08-30 10:26:31",7313394,12.85,38.55,36.82,25.7,501,1505,104,2.1,0
"2016-08-30 10:26:32",7313395,12.85,38.55,36.82,25.7,501.2,1506,106,1.89,0
"2016-08-30 10:26:33",7313396,12.84,38.55,36.82,25.7,501.2,1505,103,1.67,0
"2016-08-30 10:26:34",7313397,12.87,38.55,36.82,25.66,501,1504,99,2.9,0
"2016-08-30 10:26:35",7313398,12.85,38.55,36.85,25.7,500.7,1505,82,1.83,0
"2016-08-30 10:26:36",7313399,12.85,38.55,36.85,25.63,501.4,1505,74,1.7,0
"2016-08-30 10:26:37",7313400,12.87,38.55,36.85,25.63,501.9,1506,71,1.78,0
"2016-08-30 10:26:38",7313401,12.87,38.55,36.85,25.63,501.2,1505,79,1.79,0
"2016-08-30 10:26:39",7313402,12.87,38.55,36.89,25.63,501.2,1505,49,1.96,0
"2016-08-30 10:26:40",7313403,12.88,38.55,36.85,25.63,501,1505,54,2.38,0
"2016-08-30 10:26:41",7313404,12.89,38.55,36.89,25.63,501.7,1508,59,2.69,0
"2016-08-30 10:26:42",7313405,12.88,38.55,36.89,25.63,500.7,1504,55,2.88,0
